date - Annee,date - Trimestre,date - Mois,date - Jour,away_score,away_team,city,comp_sorted,competition.1,competition.2,country,full_score,home_score,home_team,neutral,score_difference,stadium,total_score,winner,world_cup
1962,Trim 2,juin,4,14,New Zealand,Sydney,New Zealand tour,1962,New Zealand tour of Australia,Australia,5 - 14,5,Australia,0,-9,Sydney Cricket Ground,19,New Zealand,0
1962,Trim 3,aout,25,9,Australia,Wellington,Australia tour,1962,Australia tour of New Zealand,New Zealand,9 - 9,9,New Zealand,0,0,Athletic Park,18,Draw,0
1962,Trim 3,septembre,8,0,Australia,Dunedin,Australia tour,1962,Australia tour of New Zealand,New Zealand,3 - 0,3,New Zealand,0,3,Carisbrook,3,New Zealand,0
1962,Trim 3,septembre,22,8,Australia,Auckland,Australia tour,1962,Australia tour of New Zealand,New Zealand,16 - 8,16,New Zealand,0,8,Eden Park,24,New Zealand,0
1962,Trim 4,novembre,17,3,Wales,Dublin,Five Nations Championship,1962,Five Nations Championship,Ireland,3 - 3,3,Ireland,0,0,Lansdowne Road,6,Draw,0
1963,Trim 1,janvier,12,11,Scotland,Colombes,Five Nations Championship,1963,Five Nations Championship,France,6 - 11,6,France,0,-5,Stade Yves-du-Manoir,17,Scotland,0
1963,Trim 1,janvier,19,13,England,Cardiff,Five Nations Championship,1963,Five Nations Championship,Wales,6 - 13,6,Wales,0,-7,Cardiff Arms Park,19,England,0
1963,Trim 1,janvier,26,24,France,Dublin,Five Nations Championship,1963,Five Nations Championship,Ireland,5 - 24,5,Ireland,0,-19,Lansdowne Road,29,France,0
1963,Trim 1,fevrier,2,0,Ireland,Edinburgh,Five Nations Championship,1963,Five Nations Championship,Scotland,3 - 0,3,Scotland,0,3,Murrayfield Stadium,3,Scotland,0
1963,Trim 1,fevrier,2,6,Wales,Edinburgh,Five Nations Championship,1963,Five Nations Championship,Scotland,0 - 6,0,Scotland,0,-6,Murrayfield Stadium,6,Wales,0
1963,Trim 1,fevrier,11,0,England,Dublin,Five Nations Championship,1963,Five Nations Championship,Ireland,0 - 0,0,Ireland,0,0,Lansdowne Road,0,Draw,0
1963,Trim 1,fevrier,23,5,France,London,Five Nations Championship,1963,Five Nations Championship,England,6 - 5,6,England,0,1,Twickenham,11,England,0
1963,Trim 1,mars,9,14,Ireland,Cardiff,Five Nations Championship,1963,Five Nations Championship,Wales,6 - 14,6,Wales,0,-8,National Stadium,20,Ireland,0
1963,Trim 1,mars,16,8,Scotland,London,Five Nations Championship,1963,Five Nations Championship,England,10 - 8,10,England,0,2,Twickenham Stadium,18,England,0
1963,Trim 1,mars,23,3,Wales,Paris,Five Nations Championship,1963,Five Nations Championship,France,5 - 3,5,France,0,2,Stade Colombes,8,France,0
1963,Trim 2,avril,14,12,Italy,Grenoble,Test Match,,Test Match,France,14 - 12,14,France,0,2,Stade Lesdiguieres,26,France,0
1963,Trim 2,mai,25,11,England,Auckland,England tour,1963,England rugby union tour of Australasia,New Zealand,21 - 11,21,New Zealand,0,10,Eden Park,32,New Zealand,0
1963,Trim 2,juin,1,6,England,Christchurch,England tour,1963,England rugby union tour of Australasia,New Zealand,9 - 6,9,New Zealand,0,3,Lancaster Park,15,New Zealand,0
1963,Trim 2,juin,4,9,England,Sydney,England tour,1963,England tour of Australia and New Zealand,Australia,18 - 9,18,Australia,0,9,Sydney Sports Ground,27,Australia,0
1963,Trim 3,juillet,13,3,Australia,Pretoria,Australia tour,1963,Australia tour of South Africa,South Africa,14 - 3,14,South Africa,0,11,Loftus Versfeld Stadium,17,South Africa,0
1963,Trim 3,aout,10,9,Australia,Cape Town,Australia tour,1963,Australia tour of South Africa,South Africa,5 - 9,5,South Africa,0,-4,Newlands Stadium,14,Australia,0
1963,Trim 3,aout,24,11,Australia,Johannesburg,Australia tour,1963,Australia tour of South Africa,South Africa,9 - 11,9,South Africa,0,-2,Ellis Park Stadium,20,Australia,0
1963,Trim 3,septembre,7,6,Australia,Port Elizabeth,Australia tour,1963,Australia tour of South Africa,South Africa,22 - 6,22,South Africa,0,16,Boet Erasmus Stadium,28,South Africa,0
1963,Trim 4,decembre,7,6,New Zealand,Dublin,New Zealand tour,1963e64,"New Zealand rugby union tour of Britain, Ireland, France and North America",Ireland,5 - 6,5,Ireland,0,-1,Lansdowne Road,11,New Zealand,0
1963,Trim 4,decembre,21,6,New Zealand,Cardiff,New Zealand tour,1963e64,New Zealand tour of Europe and North America,Wales,0 - 6,0,Wales,0,-6,National Stadium,6,New Zealand,0
1964,Trim 1,janvier,4,0,France,Edinburgh,Five Nations Championship,1964,Five Nations Championship,Scotland,10 - 0,10,Scotland,0,10,Murrayfield,10,Scotland,0
1964,Trim 1,janvier,4,14,New Zealand,London,New Zealand tour,1963e64,"New Zealand rugby union tour of Britain, Ireland, France and North America",England,0 - 14,0,England,0,-14,Twickenham,14,New Zealand,0
1964,Trim 1,janvier,18,0,New Zealand,Edinburgh,New Zealand tour,1963-64,New Zealand tour,Scotland,0 - 0,0,Scotland,0,0,Murrayfield,0,Draw,0
1964,Trim 1,janvier,18,6,Wales,London,Five Nations Championship,1964,Five Nations Championship,England,6 - 6,6,England,0,0,Twickenham,12,Draw,0
1964,Trim 1,fevrier,1,3,Scotland,Cardiff,Five Nations Championship,1964,Five Nations Championship,Wales,11 - 3,11,Wales,0,8,National Stadium,14,Wales,0
1964,Trim 1,fevrier,8,12,New Zealand,Colombes,New Zealand tour,1963e64,New Zealand tour,France,3 - 12,3,France,0,-9,Yves-du-Manoir,15,New Zealand,0
1964,Trim 1,fevrier,8,18,Ireland,London,Five Nations Championship,1964,Five Nations Championship,England,5 - 18,5,England,0,-13,Twickenham,23,Ireland,0
1964,Trim 1,fevrier,22,6,England,Colombes,Five Nations Championship,1964,Five Nations Championship,France,3 - 6,3,France,0,-3,Stade Yves-du-Manoir,9,England,0
1964,Trim 1,fevrier,22,6,Scotland,Dublin,Five Nations Championship,1964,Five Nations Championship,Ireland,3 - 6,3,Ireland,0,-3,Lansdowne Road,9,Scotland,0
1964,Trim 1,mars,7,15,Wales,Dublin,Five Nations Championship,1964,Five Nations Championship,Ireland,6 - 15,6,Ireland,0,-9,Lansdowne Road,21,Wales,0
1964,Trim 1,mars,21,6,England,Edinburgh,Five Nations Championship,1964,Five Nations Championship,Scotland,15 - 6,15,Scotland,0,9,Murrayfield Stadium,21,Scotland,0
1964,Trim 1,mars,21,11,France,Cardiff,Five Nations Championship,1964,Five Nations Championship,Wales,11 - 11,11,Wales,0,0,National Stadium,22,Draw,0
1964,Trim 1,mars,29,12,France,Parma,Test Match,,Test Match,Italy,3 - 12,3,Italy,0,-9,Stadio XXV Aprile,15,France,0
1964,Trim 2,avril,11,6,Ireland,Paris,Five Nations Championship,1964,Five Nations Championship,France,27 - 6,27,France,0,21,Colombes,33,France,0
1964,Trim 2,mai,23,3,Wales,Durban,Wales tour,1964,Wales tour of Kenya and South Africa,South Africa,24 - 3,24,South Africa,0,21,Kings Park,27,South Africa,0
1964,Trim 3,juillet,25,8,France,Springs,France tour,1964,France rugby union tour of South Africa,South Africa,6 - 8,6,South Africa,0,-2,Pam Brink Stadium,14,France,0
